This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201810 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196611,    0.96,   -1.18,    4.72,    2.71,   -1.69,   -0.62,    2.34,    5.18,    7.54,    0.36,   -0.16,   -2.60,   -0.59,   -0.66,    1.60,    2.89,    4.79,    5.36
196612,    0.12,    0.90,   -0.01,    1.30,    0.04,    1.30,    1.70,   -0.54,    0.79,    1.57,   -0.67,    0.48,    2.50,    0.12,    1.08,    2.15,   -0.95,   -0.36
196701,    9.00,    6.93,    8.87,   11.48,    6.79,    7.13,    7.96,    9.06,   15.37,    9.46,    7.32,    6.47,    6.75,    7.51,    7.76,    8.11,    8.28,    9.41
196702,   -0.29,   -0.05,    2.46,    0.87,   -0.59,    0.09,    1.15,    2.62,    1.66,    0.44,   -1.11,   -0.27,    0.48,   -0.31,    0.17,    1.85,    1.34,    3.18
196703,    3.86,    3.90,    4.99,    4.73,    3.53,    3.96,    4.24,    5.19,    4.83,    4.68,    3.24,    3.70,    4.57,    3.35,    4.28,    4.20,    4.93,    5.31
196704,    3.12,    2.56,    6.45,    3.07,    2.38,    2.70,    4.04,    7.04,    4.25,    2.40,    3.16,    1.91,    3.01,    2.38,    4.05,    4.04,    6.04,    7.47
196705,   -2.65,   -3.87,   -5.18,   -2.15,   -4.05,   -2.78,   -4.86,   -5.18,   -1.37,   -2.59,   -3.02,   -4.69,   -2.62,   -2.93,   -4.42,   -5.18,   -5.49,   -5.04
196706,    3.13,    2.00,    2.16,    4.68,    2.29,    1.69,    0.96,    2.55,    7.62,    2.97,    1.99,    2.48,    1.45,    1.94,    1.52,    0.57,    2.42,    2.60
196707,    3.28,    5.22,    5.28,    7.92,    2.83,    5.53,    6.27,    4.40,    8.38,    7.71,    0.49,    5.91,    5.08,    6.10,    3.32,    8.71,    6.56,    2.90
196708,   -0.69,   -0.71,   -0.81,   -0.45,   -0.88,   -0.93,   -0.35,   -0.81,   -0.90,   -0.25,   -0.84,   -0.93,   -0.88,   -1.01,    0.23,   -0.81,   -0.07,   -1.35
196709,    3.93,    1.96,    4.49,    4.63,    2.85,    1.82,    2.34,    5.02,    3.75,    5.02,    3.48,    2.07,    1.29,    2.50,    2.12,    2.51,    5.52,    4.65
196710,   -3.22,   -3.91,   -0.84,   -3.50,   -2.69,   -4.33,   -3.98,   -0.34,   -1.50,   -4.39,   -3.03,   -2.26,   -3.55,   -5.30,   -5.54,   -2.76,   -4.03,    2.38
196711,   -0.01,    1.23,    0.60,   -0.14,    0.36,    1.80,   -0.19,    0.96,   -1.08,    0.29,    0.07,    0.72,    2.17,    1.32,    0.61,   -0.80,   -1.36,    2.56
196712,    3.09,    3.66,    2.61,    5.10,    2.53,    3.66,    2.72,    2.83,    8.22,    3.69,    1.78,    3.46,    3.30,    4.13,    3.97,    1.76,    3.00,    2.71
196801,   -0.51,   -2.94,   -6.44,   -0.08,   -1.58,   -3.44,   -4.04,   -6.70,   -0.61,    0.18,   -0.80,   -2.52,   -2.66,   -4.44,   -2.30,   -5.42,   -4.88,   -7.90
196802,   -3.31,   -2.91,   -3.15,   -3.82,   -2.56,   -2.65,   -3.61,   -3.31,   -5.37,   -3.09,   -2.97,   -2.05,   -3.20,   -1.94,   -4.99,   -2.48,   -3.17,   -3.41
196803,   -0.36,   -0.83,    2.31,    0.13,   -0.65,   -0.46,   -0.69,    2.77,   -0.48,    0.40,   -0.69,   -0.61,   -0.02,   -1.01,   -2.17,    0.49,    0.50,    4.32
196804,    7.31,    7.61,   11.23,   11.18,    4.91,    8.89,    9.60,   11.40,   14.20,    9.81,    4.68,    5.20,    9.02,    8.72,    8.38,   10.55,   11.33,   11.45
196805,    2.12,    1.37,    2.93,    3.78,    0.45,    2.21,    1.39,    3.36,    7.38,    2.08,    0.93,   -0.14,    2.05,    2.42,    1.65,    1.19,    1.49,    4.60
196806,    2.18,    2.17,   -0.41,    2.78,    2.15,    1.77,    0.95,   -0.46,    1.84,    3.25,    1.73,    2.67,    2.54,    0.76,    2.44,   -0.18,    0.19,   -0.88
196807,   -0.95,   -0.49,   -4.31,   -2.62,    0.48,    0.15,   -3.11,   -4.64,   -3.48,   -1.94,    0.99,    0.04,    2.29,   -2.09,   -2.86,   -3.29,   -4.66,   -4.63
196808,    2.67,    1.49,    1.29,    3.09,    2.21,    1.20,    1.03,    1.43,    2.49,    3.55,    2.20,    2.21,    0.76,    1.68,    1.30,    0.83,    1.97,    1.03
196809,    6.61,    3.86,    3.43,    7.04,    4.85,    3.87,    4.54,    2.94,    8.77,    5.70,    6.12,    3.74,    3.10,    4.70,    4.02,    4.93,    4.41,    1.84
196810,    1.95,    1.78,   -0.65,    1.87,    2.39,    1.40,    1.06,   -1.09,    1.87,    1.86,    2.04,    2.71,    1.64,    1.13,    1.56,    0.70,    1.29,   -2.95
196811,    5.52,    5.66,    6.03,    6.02,    5.39,    5.28,    6.69,    5.77,    5.97,    6.06,    4.94,    5.79,    5.87,    4.64,    6.55,    6.79,    3.04,    7.98
196812,   -2.73,   -3.52,   -4.43,   -1.71,   -3.76,   -3.65,   -3.96,   -4.36,   -1.66,   -1.74,   -3.90,   -3.63,   -3.66,   -3.64,   -3.04,   -4.64,   -3.94,   -4.69
196901,   -0.32,    0.12,   -1.99,    0.00,   -0.26,    0.62,   -1.04,   -2.37,   -0.66,    0.52,   -0.70,    0.13,    0.45,    0.80,   -1.26,   -0.87,   -1.78,   -2.84
196902,   -6.76,   -4.91,   -4.26,   -7.68,   -5.36,   -4.72,   -5.01,   -4.04,   -8.32,   -7.17,   -5.67,   -5.09,   -4.88,   -4.54,   -5.17,   -4.88,   -3.78,   -4.24
196903,    4.65,    2.70,    3.24,    3.48,    3.44,    3.87,    1.80,    3.67,    2.64,    4.12,    6.02,    1.20,    3.20,    4.58,    1.56,    1.98,    3.46,    3.84
196904,    0.97,    2.17,    2.70,    2.20,    2.24,    1.41,    1.86,    2.73,    3.04,    1.55,   -0.43,    4.67,    0.09,    2.80,    0.86,    2.60,    2.27,    3.09
196905,    0.56,    0.79,   -0.24,    0.38,    0.93,    0.25,   -0.20,    0.27,   -0.90,    1.37,    0.78,    1.06,    1.12,   -0.65,    1.95,   -1.75,    1.19,   -0.45
196906,  -10.01,   -6.77,   -3.53,  -10.35,   -7.86,   -7.23,   -5.58,   -2.98,  -11.16,   -9.72,   -9.62,   -6.34,   -7.55,   -6.91,   -6.08,   -5.21,   -4.95,   -1.43
196907,   -8.24,   -6.34,   -5.46,   -9.19,   -6.68,   -6.33,   -6.08,   -5.27,   -9.15,   -9.21,   -6.94,   -6.53,   -6.75,   -5.76,   -6.05,   -6.11,   -5.69,   -4.95
196908,    5.47,    4.32,    5.62,    4.19,    4.93,    4.86,    4.53,    5.89,    5.62,    3.50,    7.18,    3.59,    4.60,    5.21,    4.37,    4.68,    5.01,    6.55
196909,   -5.08,   -2.90,   -0.69,   -3.73,   -4.12,   -3.99,   -1.03,   -0.70,   -2.33,   -4.42,   -6.82,   -2.45,   -4.41,   -3.44,   -1.42,   -0.67,   -1.29,   -0.26
196910,    5.90,    4.94,    6.03,    6.22,    4.64,    4.25,    6.53,    6.16,    7.61,    5.52,    5.46,    4.15,    2.77,    6.18,    7.53,    5.60,    6.12,    6.19
196911,   -4.92,   -3.23,   -2.53,   -4.80,   -2.97,   -4.31,   -3.55,   -2.20,   -5.43,   -4.47,   -5.09,   -1.70,   -4.49,   -4.09,   -3.43,   -3.66,   -2.76,   -1.79
196912,   -2.52,   -2.31,   -0.77,   -2.41,   -3.42,   -1.44,   -1.98,   -0.34,   -4.66,   -1.26,   -2.68,   -3.85,   -1.31,   -1.59,   -1.62,   -2.31,   -0.36,   -0.32
197001,   -7.72,   -6.92,   -7.92,   -6.90,   -7.05,   -8.09,   -7.00,   -7.92,   -5.47,   -7.60,   -8.83,   -6.02,   -7.84,   -8.40,   -6.04,   -7.93,   -7.24,   -8.41
197002,    7.81,    6.53,    4.14,    7.30,    8.53,    5.24,    5.08,    4.10,    7.11,    7.39,    8.53,    8.53,    4.61,    6.04,    5.93,    4.26,    5.57,    3.04
197003,   -0.82,    0.65,   -1.13,   -1.37,    0.70,    0.21,   -0.56,   -0.94,   -0.92,   -1.59,   -0.06,    1.13,    1.13,   -0.94,    0.73,   -1.84,   -0.25,   -1.44
197004,  -10.45,   -9.72,  -10.30,  -10.88,   -9.30,   -9.64,  -10.31,  -10.49,  -14.33,   -9.13,   -9.86,   -8.99,   -8.86,  -10.64,  -10.98,   -9.62,   -8.22,  -12.20
197005,   -5.05,   -5.19,   -7.51,   -6.40,   -4.61,   -4.49,   -7.97,   -6.90,   -8.92,   -5.19,   -3.24,   -5.37,   -2.52,   -7.05,   -6.22,   -9.71,   -6.76,   -7.00
197006,   -4.84,   -5.01,   -5.21,   -5.49,   -5.81,   -4.55,   -3.18,   -5.70,  -10.28,   -3.29,   -4.00,   -6.84,   -5.74,   -2.93,   -2.99,   -3.39,   -3.83,   -7.17
197007,    8.10,    9.30,    5.29,    7.88,    8.85,    9.81,    7.97,    4.67,    7.26,    8.18,    8.40,    9.22,   10.54,    8.52,    8.21,    7.72,    5.70,    4.13
197008,    5.00,    4.58,    5.40,    4.80,    4.22,    4.62,    5.30,    5.55,    3.83,    5.26,    5.28,    3.34,    4.56,    4.74,    5.72,    4.85,    5.26,    5.70
197009,    5.21,    2.77,    5.86,    7.35,    3.41,    1.78,    3.90,    6.24,   13.45,    4.50,    2.32,    4.34,    1.68,    1.96,    3.46,    4.39,    4.76,    7.02
197010,   -2.58,   -1.74,   -1.14,   -2.88,   -2.84,   -1.12,   -1.77,   -0.90,   -7.98,   -0.30,   -2.16,   -3.41,   -1.31,   -0.78,   -1.48,   -2.08,   -1.89,   -0.39
197011,    4.27,    5.54,    5.18,    3.63,    5.63,    5.54,    5.00,    5.25,    2.98,    3.93,    5.17,    6.02,    5.83,    5.03,    5.09,    4.91,    5.45,    5.15
197012,    6.35,    6.38,    5.89,    7.00,    5.54,    6.57,    6.72,    5.67,    8.22,    6.43,    5.46,    5.62,    6.39,    6.87,    6.70,    6.74,    7.74,    4.63
197101,    5.70,    5.12,    4.38,    6.67,    4.85,    5.09,    4.77,    4.36,   10.33,    4.92,    4.36,    5.25,    4.18,    6.71,    5.06,    4.44,    4.92,    4.07
197102,    1.93,    1.07,    2.17,    2.01,    1.68,   -0.03,    2.83,    2.07,    3.31,    1.36,    1.82,    1.57,   -0.48,    0.75,    3.05,    2.58,    1.52,    2.36
197103,    3.92,    3.64,    5.30,    3.76,    4.13,    2.87,    5.00,    5.33,    5.49,    2.87,    4.15,    4.10,    2.48,    3.54,    4.86,    5.16,    4.99,    5.51
197104,    4.71,    2.96,    3.58,    5.78,    3.00,    2.18,    3.42,    3.98,    5.64,    5.85,    3.18,    2.86,    1.40,    3.49,    4.69,    2.00,    5.00,    3.45
197105,   -5.04,   -3.23,   -3.54,   -4.70,   -4.31,   -4.02,   -2.61,   -3.47,   -4.36,   -4.88,   -5.54,   -3.30,   -4.54,   -3.16,   -1.56,   -3.82,   -2.11,   -4.18
197106,   -0.44,    0.90,    0.02,   -1.26,    0.05,    1.05,    1.49,   -0.22,   -1.08,   -1.35,    0.78,   -0.54,    0.73,    1.57,    1.92,    0.99,    0.22,   -0.46
197107,   -4.79,   -3.92,   -4.26,   -5.15,   -4.00,   -3.89,   -3.54,   -4.66,   -7.59,   -3.95,   -4.29,   -3.74,   -3.66,   -4.28,   -4.17,   -2.98,   -4.07,   -5.09
197108,    5.31,    3.46,    4.80,    6.56,    3.54,    2.76,    4.65,    5.14,    8.31,    5.73,    3.65,    3.45,    3.78,    0.97,    5.71,    3.72,    6.50,    4.17
197109,   -1.71,   -0.74,    0.36,   -2.03,   -1.21,   -0.77,   -0.28,    0.55,   -4.18,   -0.98,   -1.27,   -1.16,   -0.47,   -1.31,   -0.32,   -0.25,    1.17,    0.10
197110,   -5.06,   -4.07,   -3.34,   -5.97,   -3.61,   -4.34,   -4.06,   -3.05,   -7.17,   -5.40,   -3.82,   -3.43,   -4.12,   -4.72,   -3.81,   -4.27,   -3.67,   -2.58
197111,   -2.25,   -0.26,    1.07,   -2.84,   -0.51,   -0.27,   -0.01,    1.21,   -3.26,   -2.64,   -1.46,    0.32,    0.05,   -0.85,   -0.70,    0.61,    1.79,    0.79
197112,   10.64,    8.35,    9.52,   10.94,    9.04,    8.35,    8.57,    9.83,   11.88,   10.50,   10.24,    8.01,    7.49,    9.91,    8.66,    8.49,   10.45,    9.37
197201,    4.18,    0.93,    3.83,    5.78,    1.70,    0.92,    1.36,    4.37,    8.31,    4.59,    2.07,    1.37,    0.50,    1.66,    0.62,    2.03,    2.95,    5.42
197202,    1.98,    2.14,    4.55,    2.51,    1.84,    2.56,    3.15,    4.33,    2.54,    2.49,    1.26,    2.35,    1.97,    3.59,    0.71,    5.29,    5.53,    3.46
197203,   -0.63,    0.54,    1.65,   -0.45,   -0.98,    0.02,    2.58,    1.62,   -0.42,   -0.47,   -0.87,   -1.07,    1.91,   -3.26,    3.53,    1.78,    2.00,    1.33
197204,    1.51,   -0.15,    0.81,    1.53,    0.89,   -0.70,    0.78,    0.89,    2.80,    0.92,    1.47,    0.37,   -1.07,   -0.01,    1.07,    0.54,    1.32,    0.56
197205,   -0.23,    0.78,    3.20,   -1.13,    0.69,    1.28,    1.08,    3.45,   -1.45,   -0.97,    1.01,    0.41,    0.24,    3.18,   -0.41,    2.36,    4.03,    3.02
197206,   -3.91,   -2.81,   -0.75,   -4.44,   -2.75,   -3.09,   -1.22,   -0.88,   -5.87,   -3.73,   -3.19,   -2.37,   -3.11,   -3.05,   -2.33,   -0.31,   -0.68,   -1.02
197207,   -3.11,   -1.01,    0.80,   -4.40,   -1.48,   -1.16,    0.36,    0.80,   -4.43,   -4.39,   -1.73,   -1.13,   -1.05,   -1.41,   -0.56,    0.82,    0.76,    0.82
197208,    5.16,    4.56,    2.39,    5.46,    4.27,    4.12,    5.21,    1.52,    5.20,    5.57,    4.85,    3.45,    4.03,    4.32,    6.44,    4.61,    0.18,    2.39
197209,   -2.26,   -0.39,   -0.53,   -3.58,   -1.16,   -0.02,   -0.63,   -0.47,   -4.33,   -3.26,   -0.88,   -1.56,    0.61,   -1.41,   -0.58,   -0.66,   -0.24,   -0.62
197210,    0.51,    1.69,    0.58,    0.18,    0.87,    2.39,    1.75,   -0.16,   -1.93,    1.08,    0.85,    0.90,    2.58,    1.97,    0.45,    2.40,    1.58,   -1.29
197211,    7.31,    6.28,    3.42,    8.11,    7.03,    5.91,    4.99,    3.03,    5.42,    9.22,    6.52,    7.78,    5.99,    5.73,    6.29,    4.36,    3.14,    2.96
197212,   -1.83,    0.58,    2.22,   -2.78,   -1.11,    1.28,    1.38,    2.31,   -2.73,   -2.80,   -0.86,   -1.47,    1.38,    1.05,    0.11,    2.01,    3.10,    1.79
197301,   -3.50,   -3.19,   -1.71,   -4.90,   -3.15,   -2.97,   -1.97,   -1.78,   -4.43,   -5.08,   -2.09,   -4.67,   -2.66,   -3.69,   -2.84,   -1.55,   -4.48,    0.05
197302,   -5.38,   -5.00,   -3.25,   -4.40,   -5.56,   -4.25,   -4.18,   -3.49,   -3.79,   -4.65,   -6.34,   -4.41,   -4.45,   -3.79,   -7.36,   -2.67,   -4.17,   -3.05
197303,   -0.06,   -0.80,   -0.53,    0.53,   -1.09,   -1.45,   -0.06,   -0.42,   -1.17,    1.22,   -0.64,   -1.75,   -1.06,   -2.35,    1.60,   -0.80,    0.30,   -0.88
197304,   -5.08,   -3.00,   -5.38,   -5.91,   -4.31,   -2.33,   -3.94,   -5.98,   -6.61,   -5.64,   -4.25,   -4.39,   -1.34,   -4.64,   -3.88,   -3.97,   -6.60,   -5.58
197305,   -4.91,   -1.97,   -1.22,   -5.57,   -3.33,   -2.02,   -0.63,   -1.71,   -6.66,   -5.15,   -4.25,   -1.98,   -1.37,   -3.60,   -1.81,   -0.09,   -1.30,   -1.98
197306,   -1.87,   -1.68,   -0.30,   -1.71,   -1.85,   -1.54,   -0.60,   -0.46,   -2.08,   -1.57,   -2.02,   -1.62,   -1.32,   -2.08,   -2.09,    0.07,   -0.91,   -0.16
197307,    8.13,    5.05,    5.19,    8.68,    5.07,    4.30,    7.87,    4.32,    9.36,    8.30,    7.17,    3.73,    3.43,    6.33,    7.88,    7.86,    4.69,    3.99
197308,   -1.97,   -3.11,   -3.49,   -0.50,   -3.56,   -3.02,   -3.45,   -3.51,   -0.86,   -0.29,   -4.59,   -2.88,   -3.16,   -2.71,   -3.51,   -3.41,   -3.47,   -3.56
197309,    7.99,    8.18,    2.85,    8.54,    7.55,    8.53,    6.55,    1.85,    7.42,    9.17,    6.96,    7.94,    8.16,    9.35,    7.71,    5.83,    5.37,   -1.44
197310,    0.18,   -0.59,   -0.01,    1.00,    0.25,   -1.34,   -0.02,   -0.19,    1.52,    0.71,   -1.35,    1.29,   -1.90,   -0.09,   -0.87,    0.52,   -0.47,    0.08
197311,  -11.63,  -12.96,  -12.01,  -10.76,  -13.86,  -10.29,  -13.74,  -12.13,  -12.37,   -9.86,  -13.30,  -14.21,   -9.00,  -13.14,  -17.07,  -11.67,  -12.41,  -11.85
197312,    3.36,    3.40,   -0.61,    4.39,    4.24,    3.34,    1.26,   -1.36,    3.74,    4.73,    1.32,    6.10,    3.81,    2.25,    0.84,    1.50,    1.18,   -3.87
197401,    2.87,    0.93,   -1.11,    2.23,    0.94,    1.51,   -0.70,   -0.75,    5.19,    0.65,    4.19,   -1.03,    1.01,    2.69,    1.72,   -2.10,   -2.25,    0.81
197402,    1.32,    1.53,   -1.26,    1.19,    0.46,    2.43,   -0.71,   -1.01,    0.96,    1.32,    1.58,   -0.26,    2.54,    2.19,    1.36,   -1.96,   -0.65,   -1.37
