This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201810 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on OP.

The portfolios are constructed at the end of June.  OP, operating profitability, is
operating profits (sales minus cost of goods sold, minus selling, general, and,
administrative expenses, minus interest expense) divided by book equity 
at the last fiscal year end of the prior calendar year.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Returns -- Monthly
,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197405,    1084,    1135,    1115,     818,     512,     574,     631,     799,     508,     310,     266,     246,     290,     284,     315,     316,     365,     434
197406,    1079,    1132,    1110,     813,     511,     573,     630,     794,     507,     306,     266,     245,     290,     283,     314,     316,     364,     430
197407,    1098,    1177,    1143,     840,     520,     604,     654,     800,     486,     354,     258,     262,     315,     289,     311,     343,     352,     448
197408,    1095,    1173,    1138,     837,     520,     600,     654,     795,     483,     354,     258,     262,     313,     287,     311,     343,     350,     445
197409,    1091,    1172,    1132,     833,     519,     600,     654,     789,     480,     353,     258,     261,     313,     287,     311,     343,     347,     442
197410,    1088,    1171,    1126,     831,     518,     600,     651,     785,     479,     352,     257,     261,     313,     287,     310,     341,     345,     440
197411,    1084,    1171,    1123,     827,     518,     600,     650,     783,     476,     351,     257,     261,     313,     287,     310,     340,     345,     438
197412,    1080,    1169,    1119,     824,     516,     599,     648,     781,     473,     351,     256,     260,     313,     286,     310,     338,     344,     437
197501,    1074,    1168,    1119,     818,     516,     598,     648,     781,     467,     351,     256,     260,     313,     285,     310,     338,     344,     437
197502,    1072,    1167,    1117,     816,     516,     597,     648,     779,     466,     350,     256,     260,     313,     284,     310,     338,     344,     435
197503,    1070,    1166,    1117,     814,     516,     597,     647,     779,     464,     350,     256,     260,     313,     284,     309,     338,     344,     435
197504,    1069,    1164,    1116,     813,     516,     595,     647,     778,     463,     350,     256,     260,     313,     282,     309,     338,     344,     434
197505,    1067,    1163,    1116,     812,     515,     594,     647,     778,     463,     349,     255,     260,     313,     281,     309,     338,     344,     434
197506,    1056,    1160,    1109,     803,     513,     592,     644,     773,     457,     346,     253,     260,     313,     279,     308,     336,     342,     431
197507,    1290,    1254,    1216,     965,     635,     616,     674,     870,     598,     367,     325,     310,     289,     327,     328,     346,     366,     504
197508,    1289,    1253,    1213,     964,     635,     615,     673,     868,     597,     367,     325,     310,     288,     327,     328,     345,     365,     503
197509,    1287,    1253,    1211,     962,     635,     615,     673,     866,     595,     367,     325,     310,     288,     327,     328,     345,     365,     501
197510,    1283,    1251,    1209,     958,     635,     614,     672,     864,     592,     366,     325,     310,     288,     326,     327,     345,     365,     499
197511,    1279,    1249,    1208,     955,     633,     613,     671,     864,     589,     366,     324,     309,     288,     325,     327,     344,     365,     499
197512,    1275,    1244,    1204,     953,     631,     609,     670,     860,     587,     366,     322,     309,     286,     323,     326,     344,     364,     496
197601,    1270,    1241,    1201,     950,     628,     607,     669,     858,     584,     366,     320,     308,     286,     321,     326,     343,     364,     494
197602,    1267,    1238,    1200,     948,     626,     605,     669,     857,     583,     365,     319,     307,     284,     321,     326,     343,     364,     493
197603,    1261,    1237,    1197,     943,     624,     605,     669,     854,     580,     363,     318,     306,     284,     321,     326,     343,     363,     491
197604,    1258,    1236,    1190,     940,     624,     604,     668,     848,     580,     360,     318,     306,     283,     321,     326,     342,     362,     486
197605,    1254,    1232,    1188,     936,     623,     602,     667,     846,     577,     359,     318,     305,     283,     319,     325,     342,     361,     485
197606,    1253,    1230,    1184,     936,     621,     602,     664,     844,     577,     359,     317,     304,     283,     319,     324,     340,     360,     484
197607,    1319,    1274,    1221,    1011,     627,     658,     650,     868,     635,     376,     308,     319,     327,     331,     297,     353,     371,     497
197608,    1316,    1268,    1217,    1008,     625,     655,     649,     864,     632,     376,     308,     317,     326,     329,     296,     353,     370,     494
197609,    1312,    1265,    1215,    1004,     625,     654,     647,     862,     628,     376,     308,     317,     325,     329,     294,     353,     369,     493
197610,    1310,    1264,    1213,    1002,     624,     654,     646,     861,     627,     375,     308,     316,     325,     329,     294,     352,     368,     493
197611,    1305,    1262,    1211,     997,     623,     654,     644,     860,     624,     373,     308,     315,     325,     329,     293,     351,     367,     493
197612,    1301,    1259,    1205,     994,     622,     652,     641,     856,     621,     373,     307,     315,     323,     329,     292,     349,     364,     492
197701,    1295,    1255,    1200,     989,     621,     649,     638,     853,     616,     373,     306,     315,     322,     327,     291,     347,     361,     492
197702,    1293,    1253,    1195,     987,     621,     648,     635,     850,     614,     373,     306,     315,     321,     327,     290,     345,     359,     491
197703,    1291,    1247,    1194,     985,     621,     643,     634,     849,     612,     373,     306,     315,     318,     325,     289,     345,     359,     490
197704,    1289,    1247,    1191,     983,     621,     643,     632,     848,     610,     373,     306,     315,     318,     325,     289,     343,     358,     490
197705,    1282,    1245,    1182,     977,     619,     642,     630,     841,     606,     371,     305,     314,     318,     324,     289,     341,     354,     487
197706,    1277,    1244,    1180,     974,     617,     641,     630,     839,     603,     371,     303,     314,     318,     323,     289,     341,     353,     486
197707,    1323,    1311,    1222,    1030,     632,     634,     711,     849,     662,     368,     293,     339,     319,     315,     338,     373,     357,     492
197708,    1320,    1308,    1215,    1028,     630,     632,     708,     845,     661,     367,     292,     338,     318,     314,     338,     370,     355,     490
197709,    1315,    1304,    1211,    1024,     627,     632,     704,     843,     658,     366,     291,     336,     318,     314,     336,     368,     353,     490
197710,    1307,    1301,    1206,    1017,     625,     630,     703,     839,     652,     365,     290,     335,     318,     312,     336,     367,     352,     487
197711,    1304,    1299,    1204,    1015,     623,     629,     703,     837,     650,     365,     289,     334,     317,     312,     336,     367,     350,     487
197712,    1294,    1291,    1201,    1008,     617,     625,     702,     834,     645,     363,     286,     331,     316,     309,     335,     367,     348,     486
197801,    1283,    1284,    1193,     999,     614,     620,     697,     830,     641,     358,     284,     330,     312,     308,     334,     363,     345,     485
197802,    1277,    1281,    1192,     994,     613,     619,     694,     830,     639,     355,     283,     330,     312,     307,     332,     362,     345,     485
197803,    1272,    1276,    1191,     990,     610,     617,     692,     830,     638,     352,     282,     328,     312,     305,     331,     361,     345,     485
197804,    1268,    1270,    1185,     987,     607,     615,     689,     825,     636,     351,     281,     326,     312,     303,     329,     360,     345,     480
197805,    1263,    1260,    1177,     983,     603,     609,     687,     818,     633,     350,     280,     323,     310,     299,     328,     359,     345,     473
197806,    1254,    1253,    1166,     977,     598,     604,     686,     808,     630,     347,     277,     321,     308,     296,     328,     358,     344,     464
197807,    1371,    1272,    1143,    1005,     666,     617,     689,     809,     670,     335,     366,     300,     308,     309,     355,     334,     362,     447
197808,    1361,    1263,    1138,     999,     660,     613,     686,     804,     664,     335,     362,     298,     306,     307,     352,     334,     360,     444
197809,    1355,    1259,    1133,     995,     657,     611,     683,     801,     660,     335,     360,     297,     306,     305,     351,     332,     359,     442
197810,    1347,    1255,    1130,     987,     656,     608,     683,     798,     654,     333,     360,     296,     304,     304,     351,     332,     357,     441
197811,    1341,    1251,    1126,     982,     655,     607,     679,     795,     652,     330,     359,     296,     304,     303,     348,     331,     355,     440
197812,    1334,    1247,    1121,     976,     653,     606,     677,     790,     647,     329,     358,     295,     304,     302,     346,     331,     355,     435
197901,    1323,    1239,    1114,     968,     647,     603,     674,     784,     642,     326,     355,     292,     301,     302,     344,     330,     352,     432
197902,    1314,    1236,    1108,     962,     641,     603,     672,     780,     639,     323,     352,     289,     301,     302,     344,     328,     352,     428
197903,    1307,    1233,    1106,     957,     638,     601,     672,     778,     636,     321,     350,     288,     301,     300,     344,     328,     351,     427
197904,    1302,    1223,    1101,     953,     637,     592,     670,     774,     633,     320,     349,     288,     294,     298,     343,     327,     349,     425
197905,    1298,    1218,    1098,     949,     635,     592,     666,     772,     631,     318,     349,     286,     294,     298,     340,     326,     348,     424
197906,    1287,    1211,    1090,     938,     632,     590,     664,     764,     622,     316,     349,     283,     292,     298,     338,     326,     344,     420
197907,    1370,    1269,    1109,    1053,     638,     627,     654,     776,     663,     390,     317,     321,     286,     341,     321,     333,     325,     451
197908,    1365,    1260,    1103,    1048,     634,     625,     649,     772,     658,     390,     317,     317,     286,     339,     318,     331,     325,     447
197909,    1354,    1256,    1101,    1037,     632,     624,     648,     770,     654,     383,     317,     315,     286,     338,     317,     331,     325,     445
197910,    1351,    1255,    1098,    1034,     632,     623,     647,     768,     651,     383,     317,     315,     285,     338,     317,     330,     324,     444
197911,    1341,    1250,    1093,    1027,     628,     622,     643,     764,     647,     380,     314,     314,     285,     337,     314,     329,     323,     441
197912,    1334,    1241,    1090,    1021,     625,     620,     637,     762,     643,     378,     313,     312,     284,     336,     309,     328,     322,     440
198001,    1326,    1225,    1085,    1015,     620,     612,     631,     758,     640,     375,     311,     309,     280,     332,     304,     327,     321,     437
198002,    1319,    1220,    1081,    1008,     619,     609,     629,     755,     634,     374,     311,     308,     279,     330,     303,     326,     320,     435
198003,    1310,    1216,    1080,    1001,     617,     609,     625,     754,     628,     373,     309,     308,     279,     330,     299,     326,     319,     435
198004,    1298,    1211,    1079,     990,     612,     609,     624,     753,     620,     370,     308,     304,     279,     330,     298,     326,     319,     434
198005,    1288,    1207,    1073,     981,     610,     607,     621,     749,     613,     368,     307,     303,     277,     330,     297,     324,     316,     433
198006,    1279,    1201,    1071,     972,     608,     606,     617,     748,     605,     367,     307,     301,     276,     330,     294,     323,     316,     432
198007,    1369,    1250,    1116,    1060,     635,     595,     663,     782,     726,     334,     309,     326,     292,     303,     329,     334,     373,     409
198008,    1362,    1247,    1109,    1054,     634,     592,     659,     779,     722,     332,     308,     326,     290,     302,     329,     330,     372,     407
198009,    1352,    1238,    1102,    1044,     631,     588,     656,     773,     713,     331,     308,     323,     288,     300,     327,     329,     368,     405
198010,    1345,    1235,    1101,    1040,     627,     587,     654,     773,     710,     330,     305,     322,     287,     300,     326,     328,     368,     405
198011,    1338,    1233,    1095,    1033,     627,     585,     652,     769,     705,     328,     305,     322,     285,     300,     326,     326,     367,     402
198012,    1330,    1229,    1091,    1025,     625,     583,     649,     768,     699,     326,     305,     320,     285,     298,     326,     323,     367,     401
198101,    1319,    1225,    1084,    1016,     622,     582,     646,     762,     691,     325,     303,     319,     285,     297,     324,     322,     362,     400
198102,    1310,    1221,    1076,    1008,     620,     581,     644,     754,     685,     323,     302,     318,     284,     297,     322,     322,     357,     397
198103,    1303,    1215,    1072,    1003,     616,     578,     641,     752,     681,     322,     300,     316,     283,     295,     321,     320,     356,     396
198104,    1293,    1208,    1070,     993,     615,     573,     640,     750,     671,     322,     300,     315,     283,     290,     320,     320,     355,     395
198105,    1288,    1206,    1067,     988,     615,     571,     639,     748,     669,     319,     300,     315,     282,     289,     320,     319,     355,     393
198106,    1277,    1199,    1062,     978,     613,     567,     634,     746,     661,     317,     299,     314,     280,     287,     318,     316,     355,     391
198107,    1458,    1289,    1169,    1134,     660,     660,     628,     834,     796,     338,     324,     336,     331,     329,     293,     335,     335,     499
198108,    1453,    1285,    1163,    1130,     659,     657,     624,     831,     792,     338,     323,     336,     328,     329,     292,     332,     333,     498
198109,    1444,    1281,    1158,    1122,     657,     655,     623,     826,     785,     337,     322,     335,     328,     327,     291,     332,     333,     493
198110,    1435,    1275,    1155,    1115,     655,     649,     623,     823,     779,     336,     320,     335,     325,     324,     291,     332,     333,     490
198111,    1430,    1271,    1151,    1111,     652,     649,     618,     822,     775,     336,     319,     333,     325,     324,     289,     329,     333,     489
198112,    1424,    1265,    1145,    1108,     646,     646,     614,     820,     773,     335,     316,     330,     323,     323,     289,     325,     332,     488
198201,    1416,    1263,    1138,    1101,     645,     645,     610,     816,     768,     333,     315,     330,     322,     323,     288,     322,     332,     484
198202,    1406,    1259,    1134,    1092,     643,     644,     608,     812,     762,     330,     314,     329,     322,     322,     286,     322,     331,     481
198203,    1395,    1254,    1129,    1082,     641,     640,     606,     809,     752,     330,     313,     328,     320,     320,     286,     320,     329,     480
198204,    1382,    1249,    1125,    1071,     638,     636,     603,     808,     742,     329,     311,     327,     319,     317,     286,     317,     329,     479
198205,    1375,    1245,    1121,    1066,     635,     633,     602,     805,     738,     328,     309,     326,     316,     317,     286,     316,     328,     477
198206,    1363,    1239,    1117,    1057,     631,     629,     600,     802,     734,     323,     306,     325,     314,     315,     285,     315,     327,     475
198207,    1684,    1276,    1066,    1330,     662,     699,     575,     760,     962,     368,     354,     308,     343,     356,     269,     306,     313,     447
198208,    1675,    1273,    1063,    1324,     658,     697,     574,     758,     957,     367,     351,     307,     343,     354,     269,     305,     312,     446
198209,    1659,    1266,    1057,    1309,     657,     692,     572,     752,     946,     363,     350,     307,     340,     352,     267,     305,     310,     442
198210,    1648,    1263,    1052,    1298,     655,     691,     571,     748,     935,     363,     350,     305,     340,     351,     267,     304,     308,     440
198211,    1628,    1259,    1047,    1279,     652,     690,     570,     743,     917,     362,     349,     303,     339,     351,     266,     304,     305,     438
198212,    1620,    1251,    1044,    1275,     646,     685,     568,     741,     913,     362,     345,     301,     337,     348,     265,     303,     304,     437
198301,    1603,    1240,    1037,    1259,     644,     678,     562,     737,     901,     358,     344,     300,     336,     342,     262,     300,     303,     434
198302,    1593,    1234,    1033,    1251,     640,     675,     561,     733,     894,     357,     342,     298,     333,     342,     261,     300,     301,     432
198303,    1585,    1229,    1029,    1244,     636,     674,     558,     731,     889,     355,     341,     295,     333,     341,     260,     298,     300,     431
198304,    1575,    1228,    1025,    1235,     634,     674,     557,     728,     880,     355,     340,     294,     333,     341,     260,     297,     298,     430
198305,    1557,    1224,    1023,    1220,     631,     671,     556,     726,     867,     353,     337,     294,     331,     340,     259,     297,     298,     428
198306,    1539,    1221,    1021,    1204,     629,     669,     555,     724,     855,     349,     335,     294,     331,     338,     258,     297,     298,     426
198307,    1791,    1300,    1073,    1443,     668,     662,     608,     783,     961,     482,     348,     320,     342,     320,     318,     290,     300,     483
198308,    1776,    1297,    1067,    1430,     666,     659,     606,     779,     950,     480,     346,     320,     339,     320,     318,     288,     297,     482
198309,    1768,    1289,    1064,    1422,     663,     655,     605,     776,     943,     479,     346,     317,     337,     318,     317,     288,     295,     481
198310,    1762,    1285,    1060,    1418,     660,     655,     601,     773,     940,     478,     344,     316,     337,     318,     314,     287,     294,     479
198311,    1752,    1284,    1057,    1408,     660,     654,     600,     771,     931,     477,     344,     316,     336,     318,     314,     286,     294,     477
198312,    1739,    1279,    1052,    1398,     654,     654,     597,     767,     923,     475,     341,     313,     336,     318,     312,     285,     293,     474
198401,    1721,    1272,    1045,    1381,     650,     652,     593,     762,     906,     475,     340,     310,     334,     318,     310,     283,     290,     472
198402,    1706,    1264,    1040,    1369,     646,     646,     590,     759,     896,     473,     337,     309,     330,     316,     309,     281,     289,     470
198403,    1697,    1260,    1036,    1361,     644,     643,     590,     755,     890,     471,     336,     308,     328,     315,     309,     281,     288,     467
198404,    1682,    1257,    1033,    1348,     642,     640,     588,     754,     881,     467,     334,     308,     327,     313,     309,     279,     288,     466
198405,    1668,    1253,    1030,    1335,     640,     639,     586,     751,     871,     464,     333,     307,     327,     312,     307,     279,     287,     464
198406,    1648,    1242,    1025,    1316,     636,     634,     581,     748,     854,     462,     332,     304,     323,     311,     304,     277,     284,     464
198407,    1930,    1345,    1187,    1537,     722,     704,     662,     837,    1060,     477,     393,     329,     332,     372,     312,     350,     310,     527
198408,    1917,    1343,    1182,    1527,     719,     703,     660,     833,    1052,     475,     390,     329,     331,     372,     311,     349,     307,     526
198409,    1888,    1336,    1174,    1501,     714,     699,     657,     827,    1027,     474,     387,     327,     330,     369,     310,     347,     305,     522
198410,    1869,    1325,    1165,    1485,     709,     693,     652,     820,    1011,     474,     384,     325,     326,     367,     307,     345,     302,     518
198411,    1839,    1316,    1162,    1458,     703,     690,     647,     819,     988,     470,     381,     322,     324,     366,     304,     343,     301,     518
198412,    1821,    1312,    1156,    1441,     700,     688,     646,     814,     975,     466,     380,     320,     322,     366,     304,     342,     297,     517
198501,    1800,    1303,    1146,    1420,     699,     683,     641,     806,     957,     463,     380,     319,     320,     363,     301,     340,     295,     511
198502,    1781,    1295,    1144,    1408,     690,     678,     639,     805,     950,     458,     373,     317,     318,     360,     300,     339,     295,     510
198503,    1767,    1287,    1142,    1396,     686,     675,     635,     804,     940,     456,     371,     315,     317,     358,     297,     338,     295,     509
198504,    1750,    1282,    1140,    1380,     682,     674,     634,     802,     928,     452,     370,     312,     316,     358,     296,     338,     295,     507
198505,    1733,    1272,    1126,    1364,     680,     667,     629,     791,     914,     450,     369,     311,     310,     357,     294,     335,     291,     500
198506,    1709,    1261,    1116,    1343,     676,     660,     623,     784,     898,     445,     366,     310,     307,     353,     291,     332,     289,     495
198507,    2022,    1334,    1121,    1694,     692,     661,     641,     789,    1206,     488,     328,     364,     327,     334,     309,     332,     299,     490
198508,    1992,    1330,    1115,    1665,     690,     658,     640,     784,    1182,     483,     327,     363,     325,     333,     309,     331,     297,     487
198509,    1968,    1326,    1110,    1641,     690,     654,     639,     780,    1165,     476,     327,     363,     322,     332,     309,     330,     294,     486
198510,    1944,    1318,    1103,    1619,     686,     650,     636,     774,    1147,     472,     325,     361,     318,     332,     307,     329,     293,     481
198511,    1919,    1309,    1093,    1597,     680,     644,     632,     768,    1126,     471,     322,     358,     316,     328,     307,     325,     291,     477
198512,    1892,    1301,    1084,    1572,     676,     641,     626,     762,    1103,     469,     320,     356,     313,     328,     304,     322,     287,     475
198601,    1860,    1296,    1080,    1543,     673,     637,     624,     759,    1076,     467,     317,     356,     311,     326,     303,     321,     286,     473
198602,    1845,    1292,    1074,    1529,     670,     636,     622,     754,    1063,     466,     316,     354,     311,     325,     302,     320,     283,     471
198603,    1820,    1288,    1064,    1505,     668,     635,     617,     747,    1043,     462,     315,     353,     311,     324,     300,     317,     281,     466
198604,    1798,    1280,    1058,    1485,     664,     630,     614,     743,    1025,     460,     313,     351,     309,     321,     299,     315,     279,     464
198605,    1776,    1272,    1051,    1463,     661,     626,     610,     739,    1004,     459,     313,     348,     306,     320,     298,     312,     278,     461
198606,    1758,    1267,    1041,    1446,     658,     624,     607,     731,     991,     455,     312,     346,     305,     319,     297,     310,     273,     458
198607,    2066,    1212,    1220,    1695,     671,     621,     625,     886,    1216,     479,     371,     300,     325,     296,     291,     334,     382,     504
198608,    2048,    1207,    1212,    1681,     666,     618,     622,     880,    1203,     478,     367,     299,     324,     294,     290,     332,     381,     499
198609,    2020,    1205,    1205,    1655,     663,     618,     620,     874,    1181,     474,     365,     298,     324,     294,     289,     331,     376,     498
198610,    1993,    1195,    1200,    1629,     659,     613,     616,     871,    1159,     470,     364,     295,     321,     292,     287,     329,     375,     496
198611,    1956,    1185,    1194,    1594,     655,     606,     614,     866,    1129,     465,     362,     293,     316,     290,     286,     328,     373,     493
198612,    1924,    1167,    1169,    1567,     648,     593,     606,     846,    1112,     455,     357,     291,     312,     281,     283,     323,     365,     481
198701,    1906,    1160,    1159,    1552,     643,     590,     602,     838,    1100,     452,     354,     289,     310,     280,     281,     321,     359,     479
198702,    1902,    1152,    1157,    1549,     639,     586,     600,     837,    1097,     452,     353,     286,     307,     279,     280,     320,     359,     478
198703,    1884,    1142,    1153,    1533,     633,     580,     598,     835,    1082,     451,     351,     282,     304,     276,     280,     318,     358,     477
198704,    1872,    1133,    1150,    1522,     631,     575,     594,     833,    1075,     447,     350,     281,     303,     272,     277,     317,     356,     477
198705,    1858,    1131,    1146,    1510,     628,     574,     594,     829,    1065,     445,     348,     280,     302,     272,     277,     317,     354,     475
198706,    1839,    1125,    1142,    1495,     623,     571,     591,     826,    1051,     444,     344,     279,     299,     272,     275,     316,     352,     474
198707,    2147,    1258,    1287,    1789,     683,     629,     678,     913,    1321,     468,     358,     325,     336,     293,     304,     374,     387,     526
198708,    2130,    1247,    1280,    1774,     677,     625,     672,     909,    1309,     465,     356,     321,     335,     290,     301,     371,     386,     523
198709,    2111,    1245,    1274,    1759,     671,     625,     668,     907,    1296,     463,     352,     319,     335,     290,     301,     367,     386,     521
198710,    2086,    1237,    1265,    1736,     668,     621,     663,     900,    1275,     461,     350,     318,     332,     289,     298,     365,     385,     515
198711,    2062,    1228,    1258,    1716,     661,     619,     656,     896,    1258,     458,     346,     315,     332,     287,     294,     362,     382,     514
198712,    2035,    1220,    1251,    1692,     656,     614,     654,     890,    1235,     457,     343,     313,     329,     285,     293,     361,     379,     511
198801,    2017,    1213,    1248,    1675,     653,     611,     650,     889,    1220,     455,     342,     311,     328,     283,     291,     359,     378,     511
198802,    1987,    1208,    1239,    1646,     651,     608,     649,     880,    1198,     448,     341,     310,     326,     282,     290,     359,     374,     506
198803,    1974,    1198,    1223,    1634,     647,     603,     643,     868,    1186,     448,     340,     307,     322,     281,     288,     355,     366,     502
198804,    1952,    1194,    1213,    1618,     640,     601,     640,     860,    1173,     445,     334,     306,     321,     280,     287,     353,     364,     496
198805,    1920,    1184,    1205,    1587,     638,     593,     638,     853,    1148,     439,     333,     305,     318,     275,     286,     352,     363,     490
198806,    1903,    1174,    1196,    1574,     630,     589,     633,     847,    1138,     436,     329,     301,     317,     272,     284,     349,     360,     487
198807,    2228,    1271,    1185,    1858,     720,     596,     708,     802,    1392,     466,     370,     350,     288,     308,     325,     383,     384,     418
198808,    2198,    1265,    1176,    1831,     715,     592,     704,     797,    1370,     461,     367,     348,     287,     305,     325,     379,     382,     415
198809,    2176,    1255,    1165,    1813,     709,     586,     700,     788,    1355,     458,     363,     346,     285,     301,     323,     377,     377,     411
198810,    2157,    1250,    1154,    1798,     704,     584,     694,     781,    1344,     454,     359,     345,     285,     299,     321,     373,     375,     406
198811,    2127,    1241,    1146,    1773,     696,     580,     689,     776,    1322,     451,     354,     342,     284,     296,     319,     370,     373,     403
198812,    2088,    1230,    1132,    1738,     689,     576,     681,     766,    1293,     445,     350,     339,     282,     294,     315,     366,     367,     399
198901,    2068,    1223,    1121,    1725,     679,     573,     678,     757,    1281,     444,     343,     336,     279,     294,     314,     364,     366,     391
198902,    2050,    1215,    1116,    1707,     676,     571,     674,     753,    1266,     441,     343,     333,     277,     294,     311,     363,     364,     389
198903,    2029,    1207,    1110,    1689,     671,     567,     668,     751,    1252,     437,     340,     331,     276,     291,     309,     359,     364,     387
198904,    2013,    1200,    1106,    1674,     668,     565,     664,     748,    1240,     434,     339,     329,     275,     290,     306,     358,     363,     385
198905,    1989,    1196,    1093,    1654,     664,     561,     658,     741,    1225,     429,     335,     329,     274,     287,     306,     352,     359,     382
198906,    1967,    1184,    1085,    1635,     657,     555,     655,     734,    1207,     428,     332,     325,     272,     283,     304,     351,     357,     377
198907,    2176,    1255,    1026,    1789,     695,     618,     676,     679,    1340,     449,     387,     308,     322,     296,     329,     347,     317,     362
198908,    2153,    1249,    1018,    1768,     691,     616,     673,     672,    1323,     445,     385,     306,     320,     296,     327,     346,     314,     358
198909,    2129,    1246,    1012,    1746,     689,     614,     671,     667,    1305,     441,     383,     306,     319,     295,     326,     345,     313,     354
198910,    2109,    1241,    1008,    1730,     684,     612,     668,     664,    1289,     441,     379,     305,     318,     294,     324,     344,     312,     352
198911,    2086,    1236,    1001,    1713,     677,     610,     664,     659,    1275,     438,     373,     304,     316,     294,     322,     342,     311,     348
198912,    2071,    1228,     998,    1699,     674,     607,     661,     656,    1263,     436,     372,     302,     313,     294,     319,     342,     309,     347
199001,    2052,    1216,     991,    1682,     670,     600,     657,     650,    1247,     435,     370,     300,     308,     292,     316,     341,     308,     342
199002,    2032,    1215,     986,    1664,     668,     599,     655,     647,    1232,     432,     368,     300,     307,     292,     316,     339,     308,     339
199003,    2014,    1211,     983,    1647,     666,     596,     655,     644,    1217,     430,     367,     299,     307,     289,     316,     339,     308,     336
199004,    1988,    1209,     980,    1622,     664,     595,     655,     641,    1194,     428,     366,     298,     307,     288,     316,     339,     308,     333
199005,    1967,    1202,     978,    1603,     659,     591,     655,     639,    1177,     426,     364,     295,     303,     288,     316,     339,     308,     331
199006,    1933,    1199,     970,    1571,     656,     591,     649,     635,    1149,     422,     362,     294,     303,     288,     314,     335,     307,     328
199007,    2099,    1251,    1039,    1731,     631,     656,     643,     728,    1286,     445,     368,     263,     334,     322,     332,     311,     311,     417
199008,    2081,    1245,    1032,    1713,     628,     654,     639,     724,    1270,     443,     368,     260,     334,     320,     331,     308,     309,     415
199009,    2066,    1241,    1028,    1700,     626,     652,     635,     722,    1258,     442,     366,     260,     332,     320,     329,     306,     307,     415
199010,    2050,    1237,    1019,    1686,     623,     651,     632,     714,    1244,     442,     364,     259,     331,     320,     327,     305,     304,     410
199011,    2033,    1234,    1015,    1674,     616,     650,     630,     712,    1234,     440,     359,     257,     331,     319,     327,     303,     304,     408
199012,    2019,    1232,    1011,    1660,     615,     649,     628,     710,    1221,     439,     359,     256,     330,     319,     327,     301,     304,     406
199101,    2002,    1228,    1007,    1643,     615,     646,     626,     707,    1204,     439,     359,     256,     327,     319,     326,     300,     304,     403
199102,    1989,    1226,    1004,    1630,     615,     645,     623,     706,    1192,     438,     359,     256,     326,     319,     325,     298,     304,     402
199103,    1971,    1224,    1001,    1612,     614,     645,     621,     704,    1175,     437,     359,     255,     326,     319,     324,     297,     304,     400
199104,    1946,    1221,     997,    1589,     612,     642,     620,     701,    1155,     434,     357,     255,     326,     316,     324,     296,     303,     398
199105,    1923,    1220,     997,    1566,     612,     642,     619,     701,    1134,     432,     357,     255,     326,     316,     323,     296,     303,     398
199106,    1912,    1217,     994,    1555,     609,     642,     618,     699,    1124,     431,     357,     252,     326,     316,     323,     295,     303,     396
199107,    2004,    1239,    1109,    1643,     666,     644,     614,     785,    1194,     449,     361,     305,     300,     344,     290,     324,     367,     418
199108,    1987,    1236,    1108,    1628,     663,     642,     613,     785,    1182,     446,     359,     304,     299,     343,     290,     323,     367,     418
199109,    1978,    1234,    1104,    1619,     662,     641,     613,     781,    1174,     445,     359,     303,     298,     343,     290,     323,     366,     415
199110,    1961,    1231,    1102,    1603,     659,     640,     613,     779,    1164,     439,     358,     301,     298,     342,     290,     323,     365,     414
199111,    1943,    1226,    1100,    1587,     655,     637,     612,     778,    1149,     438,     356,     299,     296,     341,     290,     322,     364,     414
199112,    1914,    1224,    1098,    1559,     654,     636,     611,     776,    1121,     438,     355,     299,     295,     341,     289,     322,     364,     412
199201,    1895,    1222,    1097,    1541,     653,     636,     608,     776,    1108,     433,     354,     299,     295,     341,     287,     321,     364,     412
199202,    1875,    1220,    1092,    1521,     652,     636,     606,     772,    1089,     432,     354,     298,     295,     341,     286,     320,     361,     411
199203,    1859,    1216,    1088,    1505,     650,     634,     604,     770,    1075,     430,     354,     296,     294,     340,     286,     318,     359,     411
199204,    1838,    1210,    1083,    1486,     648,     630,     602,     765,    1056,     430,     352,     296,     293,     337,     284,     318,     358,     407
199205,    1806,    1205,    1078,    1456,     645,     626,     601,     761,    1026,     430,     350,     295,     291,     335,     284,     317,     356,     405
199206,    1770,    1201,    1069,    1423,     640,     624,     599,     754,     998,     425,     347,     293,     290,     334,     284,     315,     353,     401
199207,    1928,    1332,    1205,    1574,     682,     663,     721,     825,    1055,     519,     354,     328,     326,     337,     341,     380,     351,     474
199208,    1899,    1327,    1202,    1545,     681,     660,     719,     823,    1030,     515,     354,     327,     324,     336,     340,     379,     349,     474
199209,    1888,    1324,    1201,    1534,     681,     659,     716,     823,    1019,     515,     354,     327,     323,     336,     338,     378,     349,     474
199210,    1871,    1319,    1193,    1519,     679,     657,     710,     818,    1006,     513,     352,     327,     321,     336,     335,     375,     348,     470
199211,    1861,    1315,    1191,    1510,     676,     657,     706,     818,     997,     513,     351,     325,     321,     336,     333,     373,     348,     470
