Date,TSMOM,TSMOM^CM,TSMOM^EQ,TSMOM^FI,TSMOM^FX
01/30/1998,2.98%,1.18%,6.26%,10.93%,-3.19%
02/27/1998,2.75%,4.61%,9.62%,-2.15%,-1.64%
03/31/1998,4.86%,1.89%,13.73%,3.10%,5.76%
04/30/1998,0.27%,2.46%,-0.62%,-0.11%,-3.10%
05/29/1998,4.82%,4.35%,2.82%,9.53%,2.91%
06/30/1998,2.99%,3.27%,1.73%,-0.07%,6.43%
07/31/1998,4.43%,9.19%,0.38%,1.44%,0.96%
08/31/1998,6.31%,6.36%,-17.33%,21.22%,9.03%
09/30/1998,0.76%,-7.12%,-8.23%,28.86%,-4.81%
10/30/1998,-1.15%,0.45%,4.72%,-3.90%,-6.01%
11/30/1998,3.23%,6.09%,5.94%,-0.85%,-0.45%
12/31/1998,3.86%,8.22%,4.51%,-3.71%,2.23%
01/29/1999,-0.29%,1.94%,1.07%,3.39%,-9.47%
02/26/1999,-2.59%,5.35%,-0.89%,-18.32%,-3.99%
03/31/1999,-3.84%,-9.42%,-0.76%,5.68%,-4.53%
04/30/1999,-0.81%,-1.78%,3.87%,1.15%,-4.34%
05/31/1999,0.38%,9.26%,-6.35%,-10.84%,-1.09%
06/30/1999,-2.33%,-5.57%,3.41%,-6.55%,4.08%
07/30/1999,0.49%,2.90%,-0.28%,-2.15%,-1.13%
08/31/1999,-0.19%,-0.54%,-4.71%,-0.66%,4.38%
09/30/1999,0.38%,-0.16%,-4.12%,1.30%,3.92%
10/29/1999,1.88%,-2.40%,7.28%,5.26%,2.99%
11/30/1999,5.95%,5.33%,13.21%,0.83%,6.88%
12/31/1999,6.68%,4.39%,20.13%,7.34%,0.49%
01/31/2000,0.35%,1.75%,-11.75%,7.27%,-0.30%
02/29/2000,1.90%,4.65%,13.29%,-9.75%,-0.48%
03/31/2000,-3.49%,-5.21%,-1.46%,-9.75%,5.20%
04/28/2000,1.77%,2.58%,-1.95%,4.88%,-0.43%
05/31/2000,0.96%,3.92%,-3.70%,-0.45%,0.08%
06/30/2000,1.14%,5.86%,3.05%,-3.36%,-4.87%
07/31/2000,-0.03%,-0.69%,-1.87%,0.24%,2.37%
08/31/2000,5.45%,8.50%,2.02%,-0.63%,8.52%
09/29/2000,-1.38%,-0.88%,-5.46%,-3.83%,3.34%
10/31/2000,2.73%,1.69%,2.52%,0.82%,7.06%
11/30/2000,4.01%,5.67%,-4.56%,15.72%,-5.57%
12/29/2000,-1.13%,-2.72%,-1.49%,14.10%,-14.17%
01/31/2001,0.14%,-2.28%,-4.29%,5.94%,2.02%
02/28/2001,3.02%,0.43%,4.46%,4.16%,5.87%
03/30/2001,6.12%,5.67%,5.61%,3.00%,10.81%
04/30/2001,-6.23%,2.30%,-11.74%,-17.90%,-6.50%
05/31/2001,-0.05%,-0.40%,4.35%,-1.57%,-0.99%
06/29/2001,2.15%,0.88%,6.02%,1.22%,2.77%
07/31/2001,0.57%,-3.79%,4.27%,6.02%,0.62%
08/31/2001,3.96%,1.32%,11.71%,10.26%,-3.42%
09/28/2001,9.37%,7.43%,24.23%,7.06%,4.62%
10/31/2001,4.95%,4.21%,-5.88%,17.26%,1.20%
11/30/2001,-5.75%,-3.57%,-6.11%,-13.21%,-1.78%
12/31/2001,-0.41%,1.98%,-1.30%,-9.80%,5.66%
01/31/2002,1.59%,1.63%,3.54%,-2.66%,4.67%
02/28/2002,0.45%,-0.68%,-0.14%,2.89%,0.50%
03/29/2002,-5.00%,-6.03%,-6.73%,-4.42%,-2.25%
04/30/2002,1.68%,4.35%,4.59%,-2.71%,-1.09%
05/31/2002,2.86%,3.21%,4.78%,2.66%,0.94%
06/28/2002,6.13%,-2.12%,18.42%,12.83%,6.15%
07/31/2002,5.66%,2.13%,18.52%,13.68%,-5.61%
08/30/2002,3.31%,1.82%,-0.36%,12.30%,-0.68%
09/30/2002,6.85%,-0.10%,16.41%,14.01%,5.82%
10/31/2002,-3.05%,-4.22%,-9.36%,-3.90%,4.93%
11/29/2002,-0.87%,-0.82%,-5.55%,-3.00%,4.84%
12/31/2002,9.29%,8.30%,9.20%,15.52%,4.61%
01/31/2003,4.90%,5.01%,5.58%,1.80%,7.53%
02/28/2003,4.99%,4.06%,4.13%,9.69%,2.40%
03/31/2003,-2.66%,-6.16%,3.13%,-4.72%,2.24%
04/30/2003,-0.02%,-1.58%,-11.50%,2.43%,9.05%
05/30/2003,6.51%,0.95%,-4.61%,18.03%,13.49%
06/30/2003,-2.26%,-1.83%,-4.11%,-6.55%,2.94%
07/31/2003,-7.19%,-2.79%,-6.52%,-17.80%,-4.99%
08/29/2003,-2.08%,-0.46%,-3.34%,-1.75%,-4.71%
09/30/2003,5.95%,4.56%,0.89%,11.15%,6.88%
10/31/2003,3.56%,9.76%,9.84%,-11.83%,3.13%
11/28/2003,1.93%,1.89%,0.88%,-1.48%,6.48%
12/31/2003,7.40%,8.36%,7.83%,3.15%,9.79%
01/30/2004,0.83%,-1.07%,3.36%,4.55%,-1.29%
02/27/2004,5.87%,9.36%,5.69%,3.61%,1.48%
03/31/2004,0.39%,1.40%,-4.21%,4.96%,-3.12%
04/30/2004,-4.46%,-2.42%,2.26%,-11.72%,-5.70%
05/31/2004,-1.45%,-1.66%,-0.24%,-4.51%,1.40%
06/30/2004,-1.58%,-4.23%,5.85%,-1.93%,-1.50%
07/30/2004,-0.69%,1.42%,-6.97%,-0.16%,-0.78%
08/31/2004,0.37%,-2.15%,-1.80%,5.77%,1.16%
09/30/2004,5.88%,8.23%,5.38%,2.04%,5.73%
10/29/2004,1.12%,-1.82%,6.50%,6.02%,-2.33%
11/30/2004,5.24%,4.39%,9.13%,1.56%,7.99%
12/31/2004,0.90%,-2.76%,10.75%,3.91%,-2.44%
01/31/2005,2.33%,4.07%,3.18%,4.67%,-4.34%
02/28/2005,-1.34%,-4.36%,8.67%,-8.56%,5.01%
03/31/2005,0.57%,2.27%,-1.83%,3.22%,-3.92%
04/29/2005,-3.68%,-3.35%,-14.59%,2.65%,-3.01%
05/31/2005,2.58%,-2.61%,14.99%,10.48%,-4.91%
06/30/2005,5.05%,1.89%,11.14%,7.71%,3.94%
07/29/2005,0.35%,1.55%,13.60%,-10.55%,-0.19%
08/31/2005,2.21%,2.03%,1.00%,6.76%,-1.44%
09/30/2005,1.60%,-0.46%,17.93%,-8.13%,4.00%
10/31/2005,-2.24%,0.39%,-10.69%,-5.38%,2.24%
11/30/2005,3.77%,2.35%,12.90%,0.14%,3.72%
12/30/2005,1.88%,1.67%,10.60%,1.43%,-3.76%
01/31/2006,3.89%,8.00%,12.87%,-2.78%,-3.87%
02/28/2006,-0.40%,-4.93%,4.47%,2.32%,2.03%
03/31/2006,5.09%,8.79%,8.71%,-4.19%,5.03%
04/28/2006,2.48%,8.76%,1.88%,-3.75%,-2.86%
05/31/2006,-2.88%,1.07%,-16.17%,-0.22%,-3.68%
06/30/2006,0.37%,-2.43%,2.35%,5.03%,-0.55%
07/31/2006,-0.71%,1.44%,1.41%,-7.88%,1.18%
08/31/2006,-1.38%,0.17%,6.11%,-11.83%,1.24%
09/29/2006,1.40%,4.39%,5.38%,-4.37%,-1.33%
10/31/2006,1.61%,-1.58%,7.60%,1.85%,3.23%
11/30/2006,0.95%,0.50%,0.89%,-1.47%,4.53%
12/29/2006,3.76%,0.40%,9.11%,5.67%,4.37%
01/31/2007,2.68%,0.16%,4.71%,6.43%,2.12%
02/28/2007,-3.44%,1.32%,-4.53%,-11.33%,-3.60%
03/30/2007,1.94%,-1.78%,6.48%,5.24%,2.39%
